# Generated from timer_stm32f4xx.c
# pin,occurrence,TIM,CH
PA0,1,TIM2,CH1
PA1,1,TIM2,CH2
PA2,1,TIM2,CH3
PA3,1,TIM2,CH4
PA5,1,TIM2,CH1
PA7,1,TIM1,CH1N
PA8,1,TIM1,CH1
PA9,1,TIM1,CH2
PA10,1,TIM1,CH3
PA11,1,TIM1,CH1N
PA15,1,TIM2,CH1
PA0,2,TIM5,CH1
PA1,2,TIM5,CH2
PA2,2,TIM5,CH3
PA3,2,TIM5,CH4
PA6,1,TIM3,CH1
PA7,2,TIM3,CH2
PA2,3,TIM9,CH1
PA3,3,TIM9,CH2
PA5,2,TIM8,CH1N
PA7,3,TIM8,CH1N
PA6,2,TIM13,CH1
PA7,4,TIM14,CH1
PB0,1,TIM1,CH2N
PB1,1,TIM1,CH3N
PB3,1,TIM2,CH2
PB10,1,TIM2,CH3
PB11,1,TIM2,CH4
PB13,1,TIM1,CH1N
PB14,1,TIM1,CH2N
PB15,1,TIM1,CH3N
PB0,2,TIM3,CH3
PB1,2,TIM3,CH4
PB4,1,TIM3,CH1
PB5,1,TIM3,CH2
PB6,1,TIM4,CH1
PB7,1,TIM4,CH2
PB8,1,TIM4,CH3
PB9,1,TIM4,CH4
PB0,3,TIM8,CH2N
PB1,3,TIM8,CH3N
PB8,2,TIM10,CH1
PB9,2,TIM11,CH1
PB14,2,TIM8,CH2N
PB15,2,TIM8,CH3N
PB14,3,TIM12,CH1
PB15,3,TIM12,CH2
PC6,1,TIM3,CH1
PC7,1,TIM3,CH2
PC8,1,TIM3,CH3
PC9,1,TIM3,CH4
PC6,2,TIM8,CH1
PC7,2,TIM8,CH2
PC8,2,TIM8,CH3
PC9,2,TIM8,CH4
PD12,1,TIM4,CH1
PD13,1,TIM4,CH2
PD14,1,TIM4,CH3
PD15,1,TIM4,CH4
PE8,1,TIM1,CH1N
PE9,1,TIM1,CH1
PE10,1,TIM1,CH2N
PE11,1,TIM1,CH2
PE12,1,TIM1,CH3N
PE13,1,TIM1,CH3
PE14,1,TIM1,CH4
PE5,1,TIM9,CH1
PE6,1,TIM9,CH2
PF6,1,TIM10,CH1
PF7,1,TIM11,CH1
