# Generated from dma_reqmap_mcu.c (STM32F4/F7 block)
# TIM,CH,opt,ctrl,stream,channel
TIM1,CH1,0,2,6,0
TIM1,CH1,1,2,1,6
TIM1,CH1,2,2,3,6
TIM1,CH2,0,2,6,0
TIM1,CH2,1,2,2,6
TIM1,CH3,0,2,6,0
TIM1,CH3,1,2,6,6
TIM1,CH4,0,2,4,6
TIM2,CH1,0,1,5,3
TIM2,CH2,0,1,6,3
TIM2,CH3,0,1,1,3
TIM2,CH4,0,1,7,3
TIM2,CH4,1,1,6,3
TIM3,CH1,0,1,4,5
TIM3,CH2,0,1,5,5
TIM3,CH3,0,1,7,5
TIM3,CH4,0,1,2,5
TIM4,CH1,0,1,0,2
TIM4,CH2,0,1,3,2
TIM4,CH3,0,1,7,2
TIM5,CH1,0,1,2,6
TIM5,CH2,0,1,4,6
TIM5,CH3,0,1,0,6
TIM5,CH4,0,1,1,6
TIM5,CH4,1,1,3,6
TIM8,CH1,0,2,2,0
TIM8,CH1,1,2,2,7
TIM8,CH2,0,2,2,0
TIM8,CH2,1,2,3,7
TIM8,CH3,0,2,2,0
TIM8,CH3,1,2,4,7
TIM8,CH4,0,2,7,7
