# Generated from timer_stm32h7xx.c (STM32H7 series)
# H7 note: TIM9/10/11 absent; TIM15/16/17 present instead
# pin,occurrence,TIM,CH
PA0,1,TIM2,CH1
PA0,2,TIM5,CH1
PA1,1,TIM2,CH2
PA1,2,TIM5,CH2
PA2,1,TIM2,CH3
PA2,2,TIM5,CH3
PA3,1,TIM2,CH4
PA3,2,TIM5,CH4
PA5,1,TIM2,CH1
PA5,2,TIM8,CH1N
PA6,1,TIM3,CH1
PA6,2,TIM13,CH1
PA7,1,TIM1,CH1N
PA7,2,TIM3,CH2
PA7,3,TIM8,CH1N
PA7,4,TIM14,CH1
PA8,1,TIM1,CH1
PA9,1,TIM1,CH2
PA10,1,TIM1,CH3
PA11,1,TIM1,CH4
PA15,1,TIM2,CH1
PB0,1,TIM1,CH2N
PB0,2,TIM3,CH3
PB0,3,TIM8,CH2N
PB1,1,TIM1,CH3N
PB1,2,TIM3,CH4
PB1,3,TIM8,CH3N
PB3,1,TIM2,CH2
PB4,1,TIM3,CH1
PB5,1,TIM3,CH2
PB6,1,TIM4,CH1
PB7,1,TIM4,CH2
PB8,1,TIM4,CH3
PB8,2,TIM16,CH1
PB9,1,TIM4,CH4
PB9,2,TIM17,CH1
PB10,1,TIM2,CH3
PB11,1,TIM2,CH4
PB13,1,TIM1,CH1N
PB14,1,TIM1,CH2N
PB14,2,TIM8,CH2N
PB14,3,TIM12,CH1
PB15,1,TIM1,CH3N
PB15,2,TIM8,CH3N
PB15,3,TIM12,CH2
PC6,1,TIM3,CH1
PC6,2,TIM8,CH1
PC7,1,TIM3,CH2
PC7,2,TIM8,CH2
PC8,1,TIM3,CH3
PC8,2,TIM8,CH3
PC9,1,TIM3,CH4
PC9,2,TIM8,CH4
PD12,1,TIM4,CH1
PD13,1,TIM4,CH2
PD14,1,TIM4,CH3
PD15,1,TIM4,CH4
PE5,1,TIM15,CH1
PE6,1,TIM15,CH2
PE8,1,TIM1,CH1N
PE9,1,TIM1,CH1
PE10,1,TIM1,CH2N
PE11,1,TIM1,CH2
PE12,1,TIM1,CH3N
PE13,1,TIM1,CH3
PE14,1,TIM1,CH4
PF6,1,TIM16,CH1
PF7,1,TIM17,CH1
PF8,1,TIM16,CH1N
PF9,1,TIM17,CH1N
PF9,2,TIM14,CH1
